ID,Value
moneyBag,100.0
moneyBag,150.0
petalContainer,
moneyBag,250.0
moneyBag,150.0
moneyBag,1500.0
moneyBag,500.0
moneyBag,100.0
moneyBag,3000.0
moneyBag,100.0
moneyBag,50.0
moneyBag,50.0
moneyBag,100.0
moneyBag,1000.0
fallDamageResist,
moneyBag,300.0
moneyBag,50.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
bpContainer,
moneyBag,600.0
petalContainer,
moneyBag,100.0
moneyBag,1500.0
moneyBag,1000.0
moneyBag,600.0
moneyBag,100.0
lowLifeAttackUp,
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,500.0
moneyBag,333.0
petalContainer,
moneyBag,500.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
