ID,Value
moneyBag,100.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,25.0
moneyBag,25.0
moneyBag,50.0
moneyBag,50.0
moneyBag,25.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,200.0
moneyBag,100.0
moneyBag,500.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,100.0
moneyBag,100.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,200.0
moneyBag,50.0
moneyBag,100.0
moneyBag,100.0
moneyBag,250.0
moneyBag,350.0
moneyBag,500.0
moneyBag,30.0
moneyBag,30.0
moneyBag,30.0
moneyBag,30.0
moneyBag,100.0
moneyBag,250.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,50.0
moneyBag,25.0
moneyBag,25.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,25.0
moneyBag,25.0
moneyBag,50.0
moneyBag,25.0
moneyBag,25.0
moneyBag,50.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
waterJump,
rosePersisrenceUp,
chargeSpeedUp,
groundYoyoAutoAttack,
projectileYoyoBounceAttackUp,
stringedYoyoBounceAttackUp,
projectileYoyoControl,
groundYoyoRecoveryOnDemand,
moneyLifeRegen,
movementSpeedUp,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
bpContainer,
bpContainer,
bpContainer,
bpContainer,
bpContainer,
